epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1095.94,1.47874,1.73216,1.33825,0.52746,0.45581,0.45077,0.27824,1.48267,1.63658,1.31487,0.00144145,0.00144145,0.00144145
43,1120.98,1.48848,1.72858,1.31702,0.57843,0.46329,0.48773,0.29664,1.43508,1.55179,1.2758,0.00143595,0.00143595,0.00143595
44,1147.76,1.46752,1.73145,1.32296,0.53283,0.46581,0.47285,0.28998,1.42656,1.49561,1.28123,0.00143045,0.00143045,0.00143045
45,1177.26,1.44424,1.65892,1.2997,0.56638,0.46201,0.5127,0.32948,1.37245,1.4074,1.23488,0.00142495,0.00142495,0.00142495
46,1206.66,1.44614,1.65703,1.29683,0.61746,0.44527,0.50803,0.32844,1.37224,1.46742,1.2302,0.00141945,0.00141945,0.00141945
47,1232.7,1.4071,1.65605,1.30118,0.60628,0.4697,0.51137,0.33149,1.35698,1.45621,1.23665,0.00141395,0.00141395,0.00141395
48,1265.35,1.44985,1.67767,1.3089,0.60285,0.44686,0.50632,0.30788,1.3813,1.4748,1.26101,0.00140845,0.00140845,0.00140845
49,1290.78,1.44628,1.66066,1.3047,0.54783,0.40468,0.43662,0.27748,1.4012,1.60352,1.25817,0.00140295,0.00140295,0.00140295
50,1316.15,1.43013,1.63687,1.28515,0.59018,0.49211,0.5307,0.34096,1.3711,1.42691,1.23192,0.00139745,0.00139745,0.00139745
51,1354.7,1.42368,1.61298,1.28715,0.62697,0.44328,0.50071,0.3171,1.37959,1.41618,1.24028,0.00139195,0.00139195,0.00139195
52,1391.45,1.4113,1.58091,1.28446,0.66463,0.4798,0.55021,0.36426,1.30398,1.33999,1.20663,0.00138644,0.00138644,0.00138644
53,1419.43,1.38669,1.52952,1.26659,0.63142,0.51783,0.56473,0.35554,1.33972,1.30859,1.21945,0.00138094,0.00138094,0.00138094
54,1445.79,1.40256,1.55016,1.28792,0.66184,0.5011,0.57004,0.37133,1.31155,1.307,1.19794,0.00137544,0.00137544,0.00137544
55,1475.39,1.4102,1.55309,1.27081,0.67462,0.50358,0.57925,0.37808,1.29761,1.29004,1.19732,0.00136994,0.00136994,0.00136994
56,1504.17,1.38803,1.51324,1.26004,0.66498,0.53566,0.59069,0.3878,1.26664,1.22507,1.17749,0.00136444,0.00136444,0.00136444
57,1532.64,1.37891,1.53215,1.26083,0.71272,0.46405,0.55015,0.36837,1.30293,1.31341,1.18101,0.00135894,0.00135894,0.00135894
58,1561.07,1.40447,1.55358,1.27298,0.65079,0.52882,0.60104,0.40266,1.26622,1.22375,1.16892,0.00135344,0.00135344,0.00135344
59,1589.95,1.34297,1.47346,1.23658,0.63992,0.56723,0.59589,0.3974,1.254,1.19328,1.16079,0.00134794,0.00134794,0.00134794
60,1618.3,1.31977,1.42426,1.21671,0.62635,0.55627,0.61249,0.40876,1.27449,1.20525,1.18109,0.00134244,0.00134244,0.00134244
61,1647.35,1.35486,1.47212,1.24521,0.70998,0.55583,0.62,0.40386,1.29203,1.19105,1.17812,0.00133693,0.00133693,0.00133693
62,1676.43,1.3432,1.45361,1.24114,0.6885,0.53897,0.60045,0.39911,1.27946,1.2341,1.16966,0.00133143,0.00133143,0.00133143
63,1705.14,1.35986,1.434,1.2382,0.73334,0.55153,0.63139,0.42339,1.23332,1.13312,1.15638,0.00132593,0.00132593,0.00132593
64,1734.03,1.36556,1.46772,1.24444,0.70344,0.53952,0.61113,0.40229,1.2737,1.15713,1.15955,0.00132043,0.00132043,0.00132043
65,1762.46,1.3196,1.44153,1.22889,0.69365,0.55746,0.63005,0.43178,1.22412,1.11793,1.14209,0.00131493,0.00131493,0.00131493
66,1791.08,1.32799,1.40801,1.22495,0.7446,0.55186,0.63414,0.4281,1.22833,1.09253,1.13834,0.00130943,0.00130943,0.00130943
67,1818.2,1.29792,1.41051,1.20721,0.68872,0.53714,0.61666,0.40397,1.26297,1.14748,1.15232,0.00130393,0.00130393,0.00130393
68,1842.82,1.32944,1.40926,1.22797,0.69104,0.56311,0.6313,0.42347,1.24396,1.1136,1.14627,0.00129843,0.00129843,0.00129843
69,1867.29,1.32677,1.43607,1.23834,0.72184,0.54921,0.63261,0.41589,1.25162,1.12105,1.15517,0.00129293,0.00129293,0.00129293
70,1892.34,1.28692,1.37208,1.20049,0.74779,0.58064,0.67372,0.4588,1.18627,1.03842,1.11242,0.00128742,0.00128742,0.00128742
71,1917.01,1.32722,1.35109,1.21007,0.75206,0.57042,0.66628,0.4429,1.20399,1.09468,1.13255,0.00128192,0.00128192,0.00128192
72,1941.61,1.3072,1.35207,1.21738,0.73136,0.57016,0.65266,0.44915,1.20769,1.0614,1.11495,0.00127642,0.00127642,0.00127642
73,1966.43,1.31018,1.36001,1.21035,0.74575,0.58597,0.66991,0.45438,1.19944,1.06001,1.12643,0.00127092,0.00127092,0.00127092
