epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5553,1.74992,3.52013,1.42679,0.52305,0.02463,0.04724,0.02751,1.98759,3.5625,1.5568,0.000546847,0.000546847,0.000546847
2,32.2698,1.94958,3.35945,1.58209,0.06599,0.0524,0.01579,0.00757,2.36866,3.77324,2.04816,0.0010916,0.0010916,0.0010916
3,47.5823,2.11511,3.34203,1.71752,0.06573,0.05547,0.01357,0.00558,2.46222,4.26345,2.07314,0.00162535,0.00162535,0.00162535
4,63.2518,2.16174,3.31155,1.7471,0.07369,0.04312,0.01412,0.00451,2.63232,10.3683,2.25208,0.00161749,0.00161749,0.00161749
5,79.3839,2.15,3.21441,1.80722,0.0644,0.04755,0.02076,0.00916,2.53225,6.60091,2.1863,0.00160099,0.00160099,0.00160099
6,96.091,2.12204,3.12317,1.73081,0.10306,0.06612,0.0214,0.00941,2.34121,3.48698,1.94805,0.00158448,0.00158448,0.00158448
7,112.01,2.07437,3.04865,1.71244,0.09433,0.20041,0.02915,0.01382,2.35293,4.39134,2.03953,0.00156798,0.00156798,0.00156798
8,127.84,2.03102,3.00023,1.71455,0.06751,0.1619,0.02017,0.01129,2.34548,4.47932,1.99161,0.00155148,0.00155148,0.00155148
9,143.213,2.01235,2.84793,1.64008,0.10217,0.11077,0.05086,0.02495,2.17871,3.04164,1.81285,0.00153497,0.00153497,0.00153497
10,158.934,2.00655,2.8491,1.68518,0.14509,0.08729,0.04834,0.02209,2.21518,4.10451,1.85081,0.00151847,0.00151847,0.00151847
11,175.143,1.95281,2.78238,1.61411,0.11229,0.08759,0.06609,0.0214,2.30345,3.03835,1.88413,0.00150197,0.00150197,0.00150197
12,190.764,1.98363,2.74712,1.63568,0.31784,0.11527,0.06544,0.02605,2.17405,3.31052,1.86075,0.00148546,0.00148546,0.00148546
13,206.455,1.93474,2.70934,1.6142,0.11084,0.12773,0.07463,0.03692,2.14561,2.96523,1.81625,0.00146896,0.00146896,0.00146896
14,222.078,1.83892,2.57457,1.5526,0.0779,0.14443,0.04215,0.01778,2.12686,3.22184,1.77065,0.00145246,0.00145246,0.00145246
15,237.498,1.83389,2.54618,1.54755,0.11138,0.14613,0.05608,0.02514,2.15716,2.97391,1.80641,0.00143595,0.00143595,0.00143595
16,252.995,1.83247,2.4736,1.5369,0.26892,0.13531,0.10971,0.05137,2.08275,2.79138,1.75244,0.00141945,0.00141945,0.00141945
17,268.601,1.81223,2.42935,1.50669,0.17545,0.13838,0.09254,0.05576,2.06915,2.84277,1.79703,0.00140295,0.00140295,0.00140295
