epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9616,1.67035,3.38648,1.45383,0.30422,0.05346,0.05353,0.02861,1.99621,3.26836,1.50162,0.000548972,0.000548972,0.000548972
2,48.0368,1.89643,3.19311,1.60939,0.07878,0.06251,0.01898,0.00774,2.23034,3.72483,1.84889,0.0010937,0.0010937,0.0010937
3,74.1045,2.0439,3.17985,1.71564,0.07938,0.11156,0.03245,0.01508,2.21411,3.79379,1.8841,0.00162743,0.00162743,0.00162743
4,102.051,2.11676,3.21158,1.7796,0.12334,0.10319,0.03659,0.01686,2.34977,3.67353,1.99685,0.00161749,0.00161749,0.00161749
5,129.084,2.07432,3.00846,1.73208,0.15279,0.10054,0.05709,0.02279,2.17912,3.60665,1.84589,0.00160099,0.00160099,0.00160099
6,155.635,2.0544,3.01244,1.75895,0.13638,0.15268,0.06686,0.03039,2.15886,2.89401,1.83124,0.00158448,0.00158448,0.00158448
7,179.454,1.99069,2.86473,1.70045,0.17214,0.16283,0.07552,0.03331,2.05662,2.9183,1.74913,0.00156798,0.00156798,0.00156798
8,202.384,1.97889,2.78972,1.66337,0.19795,0.25376,0.09986,0.04924,2.05041,3.20186,1.70041,0.00155148,0.00155148,0.00155148
9,225.934,1.89166,2.64973,1.62216,0.16103,0.15555,0.07273,0.02911,2.07827,3.03342,1.73015,0.00153497,0.00153497,0.00153497
10,249.323,1.87056,2.6323,1.59973,0.26283,0.19794,0.14021,0.06983,1.89759,2.52235,1.61664,0.00151847,0.00151847,0.00151847
11,272.707,1.82052,2.52444,1.57035,0.18486,0.32219,0.13327,0.06234,1.9501,2.99863,1.63274,0.00150197,0.00150197,0.00150197
12,296.122,1.80537,2.52272,1.55174,0.21697,0.25548,0.16199,0.08438,1.80485,2.45652,1.544,0.00148546,0.00148546,0.00148546
13,319.474,1.76821,2.42118,1.51871,0.25383,0.22952,0.1635,0.08671,1.83267,2.37048,1.5509,0.00146896,0.00146896,0.00146896
14,342.971,1.75741,2.39943,1.53355,0.32147,0.25863,0.19805,0.10363,1.797,2.45913,1.54352,0.00145246,0.00145246,0.00145246
15,366.015,1.74735,2.31178,1.49667,0.31761,0.26657,0.18376,0.09471,1.8088,2.29083,1.53874,0.00143595,0.00143595,0.00143595
16,388.472,1.71254,2.29725,1.50453,0.36263,0.25696,0.22582,0.12072,1.80233,2.2602,1.54298,0.00141945,0.00141945,0.00141945
17,410.92,1.70276,2.3107,1.47239,0.31238,0.27899,0.20667,0.11115,1.77255,2.31351,1.54927,0.00140295,0.00140295,0.00140295
18,433.347,1.6993,2.26579,1.48423,0.34333,0.25367,0.21554,0.12184,1.7353,2.44075,1.4666,0.00138644,0.00138644,0.00138644
19,455.893,1.68071,2.23344,1.4564,0.37143,0.31904,0.28618,0.15293,1.66934,2.02974,1.43979,0.00136994,0.00136994,0.00136994
20,478.421,1.65971,2.15643,1.4494,0.38431,0.32187,0.28516,0.15714,1.65462,2.07365,1.45233,0.00135344,0.00135344,0.00135344
21,500.825,1.63279,2.15193,1.44041,0.41529,0.33016,0.31215,0.1817,1.59042,2.01126,1.38269,0.00133693,0.00133693,0.00133693
22,523.28,1.60443,2.03239,1.4086,0.43408,0.33954,0.32504,0.18936,1.60434,1.94341,1.37477,0.00132043,0.00132043,0.00132043
23,545.754,1.6234,2.04621,1.41339,0.46987,0.34096,0.35016,0.20542,1.61712,1.87224,1.40391,0.00130393,0.00130393,0.00130393
24,568.268,1.59342,2.02089,1.41249,0.44135,0.35517,0.33602,0.19985,1.55125,1.90622,1.37572,0.00128742,0.00128742,0.00128742
25,590.661,1.53489,1.97537,1.38518,0.47239,0.36653,0.36384,0.22432,1.49106,1.74158,1.33268,0.00127092,0.00127092,0.00127092
26,613.411,1.59861,1.97904,1.42304,0.45426,0.37769,0.37867,0.23235,1.54627,1.78751,1.33897,0.00125442,0.00125442,0.00125442
27,636.091,1.57363,1.94898,1.39035,0.52408,0.34472,0.36507,0.21182,1.53483,1.81377,1.36487,0.00123791,0.00123791,0.00123791
28,658.653,1.52824,1.86658,1.36685,0.51728,0.35834,0.37771,0.23471,1.49285,1.76864,1.31539,0.00122141,0.00122141,0.00122141
29,681.287,1.54959,1.91592,1.3673,0.58568,0.38508,0.41785,0.24876,1.51212,1.70232,1.32489,0.00120491,0.00120491,0.00120491
30,703.774,1.5141,1.85451,1.34513,0.50845,0.39345,0.39934,0.24076,1.51469,1.66961,1.31773,0.0011884,0.0011884,0.0011884
31,726.767,1.50496,1.86299,1.35819,0.54272,0.39929,0.42282,0.26087,1.49578,1.70618,1.3206,0.0011719,0.0011719,0.0011719
32,749.599,1.48242,1.79175,1.3367,0.54755,0.42848,0.45739,0.27668,1.46297,1.58208,1.29186,0.0011554,0.0011554,0.0011554
33,772.481,1.48286,1.79029,1.33336,0.549,0.41454,0.45734,0.2835,1.4511,1.56837,1.29249,0.00113889,0.00113889,0.00113889
34,795.685,1.51252,1.76309,1.3467,0.56337,0.42967,0.46357,0.2867,1.43408,1.56394,1.27734,0.00112239,0.00112239,0.00112239
35,818.379,1.43845,1.71432,1.32107,0.56754,0.45419,0.49143,0.31552,1.38946,1.46475,1.251,0.00110589,0.00110589,0.00110589
36,841.123,1.43819,1.69193,1.29503,0.5645,0.45011,0.50138,0.32119,1.40098,1.4661,1.24743,0.00108938,0.00108938,0.00108938
37,863.727,1.42049,1.68331,1.28623,0.61521,0.47238,0.5239,0.33461,1.34384,1.42958,1.23107,0.00107288,0.00107288,0.00107288
38,886.325,1.44717,1.67955,1.30684,0.6875,0.44269,0.53039,0.33702,1.39448,1.42927,1.24152,0.00105638,0.00105638,0.00105638
39,909.019,1.409,1.64451,1.27456,0.60709,0.47734,0.50628,0.31805,1.35909,1.46631,1.22625,0.00103987,0.00103987,0.00103987
40,931.651,1.431,1.62571,1.28964,0.63734,0.45794,0.52588,0.34227,1.32156,1.39481,1.21629,0.00102337,0.00102337,0.00102337
41,954.372,1.39284,1.59015,1.28193,0.61137,0.50766,0.55441,0.35879,1.34105,1.35981,1.19687,0.00100687,0.00100687,0.00100687
42,976.923,1.39006,1.59433,1.28583,0.67654,0.49123,0.55804,0.35652,1.33656,1.38787,1.21649,0.000990365,0.000990365,0.000990365
