epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3132,1.74018,3.48636,1.44098,0.37603,0.05738,0.08303,0.0413,1.74434,3.10496,1.40302,0.000548258,0.000548258,0.000548258
2,41.4428,1.97997,3.40571,1.60803,0.1315,0.12155,0.05022,0.01965,2.22773,3.63439,1.91122,0.001093,0.001093,0.001093
3,61.4264,2.09958,3.29232,1.74632,0.10448,0.09581,0.02931,0.01023,2.35194,4.41331,2.03214,0.00162673,0.00162673,0.00162673
4,81.5335,2.14299,3.25187,1.76854,0.10828,0.09977,0.03823,0.01598,2.23933,4.01011,1.87496,0.00161749,0.00161749,0.00161749
5,101.615,2.18149,3.17837,1.79543,0.10958,0.18764,0.05886,0.02404,2.25139,4.49986,1.90203,0.00160099,0.00160099,0.00160099
6,121.378,2.1102,3.10184,1.71984,0.12875,0.17263,0.0615,0.02556,2.1911,3.30498,1.79953,0.00158448,0.00158448,0.00158448
7,141.302,2.08372,3.01482,1.73113,0.12236,0.1432,0.06307,0.02724,2.15534,3.69213,1.87819,0.00156798,0.00156798,0.00156798
8,161.135,2.05545,2.91046,1.73588,0.18589,0.20801,0.10734,0.04949,2.1029,3.07049,1.75399,0.00155148,0.00155148,0.00155148
9,180.994,2.02573,2.82251,1.68145,0.24745,0.22006,0.12754,0.05796,2.03095,2.74936,1.71897,0.00153497,0.00153497,0.00153497
10,200.892,1.95687,2.7245,1.62804,0.16827,0.18168,0.10287,0.04912,1.94427,2.94322,1.70451,0.00151847,0.00151847,0.00151847
11,220.482,1.90267,2.7314,1.62984,0.24579,0.20297,0.13592,0.06912,1.92097,2.53169,1.61809,0.00150197,0.00150197,0.00150197
12,240.461,1.91336,2.64723,1.61629,0.24226,0.24131,0.16495,0.08531,1.85486,2.41734,1.60708,0.00148546,0.00148546,0.00148546
13,260.358,1.87714,2.61126,1.58205,0.30493,0.24925,0.19592,0.09827,1.87994,2.3517,1.60419,0.00146896,0.00146896,0.00146896
14,280.371,1.83612,2.54349,1.56691,0.21307,0.20042,0.14319,0.0705,1.87047,2.77782,1.6489,0.00145246,0.00145246,0.00145246
15,300.253,1.82009,2.53713,1.55372,0.26279,0.27132,0.19185,0.09607,1.76676,2.46941,1.54169,0.00143595,0.00143595,0.00143595
16,320.222,1.81247,2.50615,1.54719,0.34819,0.22702,0.20026,0.10754,1.74911,2.29855,1.5252,0.00141945,0.00141945,0.00141945
17,340.163,1.80656,2.48038,1.53321,0.34148,0.27478,0.24415,0.13591,1.71635,2.19379,1.49246,0.00140295,0.00140295,0.00140295
18,360.024,1.80416,2.40218,1.51351,0.35638,0.28035,0.25205,0.14446,1.73034,2.18358,1.44911,0.00138644,0.00138644,0.00138644
19,379.822,1.74263,2.33583,1.4888,0.38545,0.29144,0.2663,0.14436,1.68163,2.14904,1.46133,0.00136994,0.00136994,0.00136994
20,399.598,1.7282,2.3198,1.47939,0.40142,0.29235,0.28243,0.16792,1.60242,2.05455,1.42522,0.00135344,0.00135344,0.00135344
21,419.39,1.72128,2.25737,1.46986,0.39653,0.30404,0.28633,0.16502,1.64778,2.04072,1.43867,0.00133693,0.00133693,0.00133693
22,439.11,1.72672,2.30607,1.47241,0.4063,0.34207,0.31888,0.17387,1.59104,2.06031,1.40072,0.00132043,0.00132043,0.00132043
23,458.829,1.69173,2.2432,1.44483,0.38829,0.32604,0.29116,0.16496,1.6555,2.0406,1.44561,0.00130393,0.00130393,0.00130393
24,478.552,1.6914,2.18842,1.43375,0.44691,0.33546,0.34012,0.2037,1.57523,1.87231,1.40799,0.00128742,0.00128742,0.00128742
25,498.298,1.646,2.1407,1.42804,0.4783,0.32643,0.34582,0.20199,1.58255,1.87763,1.393,0.00127092,0.00127092,0.00127092
26,518.178,1.67289,2.11934,1.44834,0.40492,0.36798,0.32124,0.18591,1.56519,1.86803,1.39257,0.00125442,0.00125442,0.00125442
27,537.951,1.63911,2.13216,1.41584,0.48206,0.31617,0.33646,0.19085,1.59087,1.89793,1.41051,0.00123791,0.00123791,0.00123791
28,557.753,1.60823,2.08789,1.40716,0.48585,0.37735,0.38271,0.23679,1.50719,1.74955,1.33896,0.00122141,0.00122141,0.00122141
29,577.593,1.63643,2.04853,1.4214,0.48532,0.3682,0.40732,0.24248,1.50448,1.74523,1.34832,0.00120491,0.00120491,0.00120491
30,597.415,1.5948,1.97411,1.378,0.44712,0.39868,0.38988,0.23263,1.51773,1.74467,1.33701,0.0011884,0.0011884,0.0011884
31,617.27,1.6037,2.03139,1.37711,0.53868,0.39158,0.41612,0.25511,1.4429,1.64549,1.29476,0.0011719,0.0011719,0.0011719
32,637.094,1.62238,1.97608,1.39055,0.54907,0.35398,0.40999,0.2487,1.47919,1.71486,1.34184,0.0011554,0.0011554,0.0011554
33,656.673,1.58377,1.95645,1.37902,0.55889,0.42804,0.44106,0.27546,1.43307,1.61197,1.30281,0.00113889,0.00113889,0.00113889
34,676.681,1.56661,1.92393,1.36138,0.55028,0.44087,0.46928,0.28702,1.39231,1.54437,1.28033,0.00112239,0.00112239,0.00112239
35,696.88,1.53509,1.94099,1.36122,0.5934,0.43656,0.47265,0.29136,1.41888,1.53138,1.28016,0.00110589,0.00110589,0.00110589
36,716.566,1.54547,1.87086,1.34563,0.59502,0.42994,0.48645,0.31102,1.40607,1.51815,1.28311,0.00108938,0.00108938,0.00108938
37,736.271,1.50352,1.84469,1.31947,0.61597,0.44957,0.4897,0.30685,1.38551,1.51993,1.2786,0.00107288,0.00107288,0.00107288
38,756.012,1.50542,1.81705,1.31919,0.59845,0.47711,0.49886,0.31351,1.36,1.45033,1.25402,0.00105638,0.00105638,0.00105638
39,775.761,1.51247,1.80931,1.32995,0.5898,0.48594,0.50467,0.32256,1.35394,1.45486,1.22898,0.00103987,0.00103987,0.00103987
40,795.444,1.48395,1.77765,1.33434,0.60985,0.46202,0.50349,0.31659,1.3584,1.51954,1.25039,0.00102337,0.00102337,0.00102337
41,815.06,1.50852,1.8039,1.3199,0.57954,0.486,0.50708,0.31538,1.37924,1.4257,1.2416,0.00100687,0.00100687,0.00100687
42,834.665,1.49001,1.73063,1.28135,0.65199,0.47759,0.54961,0.36379,1.30892,1.37041,1.21016,0.000990365,0.000990365,0.000990365
43,854.393,1.47233,1.72385,1.27744,0.68251,0.47151,0.54922,0.36353,1.31242,1.31374,1.20088,0.000973861,0.000973861,0.000973861
44,874.222,1.46402,1.7249,1.291,0.61408,0.51181,0.53578,0.3471,1.30262,1.40797,1.21698,0.000957358,0.000957358,0.000957358
45,893.954,1.43611,1.69118,1.27013,0.73007,0.4898,0.58329,0.3902,1.27971,1.27781,1.19123,0.000940855,0.000940855,0.000940855
46,913.607,1.441,1.64248,1.26411,0.68976,0.48936,0.57049,0.37163,1.30221,1.29024,1.19605,0.000924352,0.000924352,0.000924352
47,933.115,1.42643,1.60354,1.27151,0.71815,0.50733,0.59808,0.40214,1.26752,1.24327,1.18307,0.000907848,0.000907848,0.000907848
48,952.867,1.3966,1.58545,1.24042,0.67637,0.51868,0.5878,0.38739,1.26749,1.29766,1.17967,0.000891345,0.000891345,0.000891345
49,972.579,1.40363,1.57094,1.25621,0.75272,0.50459,0.60661,0.39788,1.25707,1.23243,1.17859,0.000874842,0.000874842,0.000874842
50,992.365,1.38531,1.56483,1.25116,0.7033,0.53973,0.6124,0.4022,1.25788,1.22355,1.18302,0.000858338,0.000858338,0.000858338
51,1012.01,1.42689,1.56536,1.26468,0.71539,0.5296,0.61775,0.40907,1.26032,1.21707,1.16953,0.000841835,0.000841835,0.000841835
52,1031.6,1.39111,1.53346,1.24701,0.73983,0.55621,0.66307,0.44706,1.20952,1.11397,1.14742,0.000825332,0.000825332,0.000825332
53,1051.47,1.38529,1.51189,1.24259,0.7223,0.56646,0.6577,0.44286,1.20846,1.17361,1.14531,0.000808828,0.000808828,0.000808828
54,1071.21,1.39732,1.509,1.25216,0.69871,0.58328,0.64743,0.43888,1.22433,1.12101,1.1444,0.000792325,0.000792325,0.000792325
55,1090.84,1.35637,1.48335,1.21376,0.7787,0.53151,0.63125,0.44183,1.1949,1.13842,1.12753,0.000775822,0.000775822,0.000775822
56,1110.61,1.35901,1.50207,1.22749,0.74899,0.57492,0.66424,0.44898,1.1722,1.10171,1.12732,0.000759318,0.000759318,0.000759318
57,1130.36,1.36626,1.43618,1.23136,0.77552,0.56233,0.67061,0.46817,1.16192,1.05872,1.12639,0.000742815,0.000742815,0.000742815
58,1150.25,1.30138,1.38781,1.19782,0.75813,0.58085,0.67801,0.47128,1.15579,1.04593,1.10886,0.000726312,0.000726312,0.000726312
59,1169.87,1.33322,1.419,1.20304,0.72346,0.5986,0.67609,0.46573,1.16828,1.04745,1.11499,0.000709809,0.000709809,0.000709809
60,1189.63,1.31805,1.38898,1.18741,0.80168,0.56685,0.69399,0.48331,1.15907,1.00068,1.11037,0.000693305,0.000693305,0.000693305
61,1209.45,1.30756,1.36836,1.19716,0.79653,0.57401,0.69004,0.48708,1.13045,0.99501,1.0966,0.000676802,0.000676802,0.000676802
62,1229.19,1.30656,1.37145,1.18957,0.79248,0.60097,0.70469,0.49361,1.12532,0.97508,1.0923,0.000660299,0.000660299,0.000660299
63,1248.82,1.26884,1.31935,1.18124,0.84387,0.58979,0.71103,0.50567,1.10986,0.95647,1.08517,0.000643795,0.000643795,0.000643795
64,1268.54,1.27575,1.28599,1.17578,0.78921,0.60394,0.70903,0.49424,1.11617,0.97971,1.09147,0.000627292,0.000627292,0.000627292
65,1288.3,1.25432,1.30786,1.17885,0.78261,0.6273,0.72651,0.50351,1.10971,0.94668,1.08094,0.000610789,0.000610789,0.000610789
66,1307.86,1.27781,1.2869,1.17032,0.76862,0.60612,0.70234,0.49665,1.08671,0.95334,1.07077,0.000594286,0.000594286,0.000594286
67,1327.48,1.27952,1.30505,1.17464,0.73869,0.63627,0.71192,0.50063,1.08351,0.95711,1.07311,0.000577782,0.000577782,0.000577782
68,1347.08,1.25923,1.26953,1.15662,0.84042,0.64493,0.74852,0.53046,1.07691,0.89402,1.06447,0.000561279,0.000561279,0.000561279
69,1366.78,1.26814,1.24028,1.15441,0.80038,0.66055,0.74787,0.52611,1.06647,0.90528,1.05913,0.000544776,0.000544776,0.000544776
70,1386.37,1.25691,1.22871,1.16773,0.84064,0.63112,0.7434,0.53692,1.06256,0.88962,1.04888,0.000528272,0.000528272,0.000528272
71,1406.07,1.23831,1.21932,1.14406,0.88303,0.61383,0.75763,0.54521,1.07328,0.85978,1.05404,0.000511769,0.000511769,0.000511769
72,1425.91,1.23268,1.20893,1.14981,0.84963,0.63233,0.74541,0.53954,1.04417,0.86643,1.04235,0.000495266,0.000495266,0.000495266
73,1445.61,1.2494,1.22446,1.15845,0.81819,0.66221,0.7646,0.55205,1.03967,0.84595,1.04617,0.000478762,0.000478762,0.000478762
74,1465.34,1.19618,1.1793,1.13236,0.84378,0.6685,0.77458,0.55365,1.04229,0.84167,1.04121,0.000462259,0.000462259,0.000462259
75,1485.2,1.19637,1.16429,1.125,0.82117,0.66508,0.75892,0.55037,1.02295,0.84389,1.03382,0.000445756,0.000445756,0.000445756
76,1505.59,1.19941,1.14676,1.14006,0.86388,0.68139,0.78059,0.56472,1.00977,0.80342,1.02635,0.000429253,0.000429253,0.000429253
77,1525.51,1.18864,1.14011,1.12731,0.89723,0.65141,0.78167,0.56868,1.00607,0.79618,1.03106,0.000412749,0.000412749,0.000412749
78,1545.51,1.21054,1.13355,1.11771,0.81838,0.7005,0.78429,0.56225,1.01358,0.79587,1.02683,0.000396246,0.000396246,0.000396246
79,1565.39,1.17178,1.12835,1.11574,0.89401,0.67015,0.78866,0.56737,1.01472,0.80166,1.02944,0.000379743,0.000379743,0.000379743
80,1585.34,1.18634,1.13456,1.13525,0.87437,0.67177,0.78763,0.57556,0.98073,0.77452,1.00885,0.000363239,0.000363239,0.000363239
