epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4209,1.74992,3.52013,1.42679,0.52305,0.02463,0.04724,0.02751,1.98759,3.5625,1.5568,0.000546847,0.000546847,0.000546847
2,32.2623,1.92208,3.3173,1.56727,0.24664,0.06089,0.04496,0.02679,2.33128,3.43133,1.93935,0.00106613,0.00106613,0.00106613
3,47.673,2.05007,3.29172,1.66514,0.08582,0.10617,0.02516,0.01183,2.40508,3.59641,1.93425,0.00154874,0.00154874,0.00154874
